DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,PARENTDIAGNOSISCODE,DIAGNOSISCODESET,DIAGNOSISCODEGROUP,SUBCATEGORY
R0481,Acute idiopathic pulmonary hemorrhage in infants,R048,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0489,Hemorrhage from other sites in respiratory passages,R048,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R051,Acute cough,R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R053,Chronic cough,R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R058,Other specified cough,R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R052,Subacute cough,R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R054,Cough syncope,R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R059,"Cough, unspecified",R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R060,Dyspnea,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R065,Mouth breathing,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R064,Hyperventilation,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R063,Periodic breathing,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R062,Wheezing,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R068,Other abnormalities of breathing,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R069,Unspecified abnormalities of breathing,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R067,Sneezing,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R066,Hiccough,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R061,Stridor,R06,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0603,Acute respiratory distress,R060,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0602,Shortness of breath,R060,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0601,Orthopnea,R060,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0609,Other forms of dyspnea,R060,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0600,"Dyspnea, unspecified",R060,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0682,"Tachypnea, not elsewhere classified",R068,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0683,Snoring,R068,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0689,Other abnormalities of breathing,R068,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0681,"Apnea, not elsewhere classified",R068,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R072,Precordial pain,R07,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R071,Chest pain on breathing,R07,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R070,Pain in throat,R07,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R079,"Chest pain, unspecified",R07,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R078,Other chest pain,R07,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0781,Pleurodynia,R078,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0789,Other chest pain,R078,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0782,Intercostal pain,R078,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R098,Oth symptoms and signs involving the circ and resp systems,R09,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R092,Respiratory arrest,R09,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R090,Asphyxia and hypoxemia,R09,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R091,Pleurisy,R09,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R093,Abnormal sputum,R09,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0902,Hypoxemia,R090,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0901,Asphyxia,R090,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0981,Nasal congestion,R098,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0982,Postnasal drip,R098,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R0989,Oth symptoms and signs involving the circ and resp systems,R098,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
R102,Pelvic and perineal pain,R10,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R109,Unspecified abdominal pain,R10,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R103,Pain localized to other parts of lower abdomen,R10,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R101,Pain localized to upper abdomen,R10,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R108,Other abdominal pain,R10,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R100,Acute abdomen,R10,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1012,Left upper quadrant pain,R101,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1011,Right upper quadrant pain,R101,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1013,Epigastric pain,R101,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1010,"Upper abdominal pain, unspecified",R101,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1032,Left lower quadrant pain,R103,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1030,"Lower abdominal pain, unspecified",R103,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1031,Right lower quadrant pain,R103,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1033,Periumbilical pain,R103,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1084,Generalized abdominal pain,R108,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1083,Colic,R108,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10819,"Abdominal tenderness, unspecified site",R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10811,Right upper quadrant abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10813,Right lower quadrant abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10816,Epigastric abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10814,Left lower quadrant abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10812,Left upper quadrant abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10815,Periumbilic abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10817,Generalized abdominal tenderness,R1081,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10821,Right upper quadrant rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10826,Epigastric rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10822,Left upper quadrant rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10825,Periumbilic rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10827,Generalized rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10824,Left lower quadrant rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10823,Right lower quadrant rebound abdominal tenderness,R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R10829,"Rebound abdominal tenderness, unspecified site",R1082,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R110,Nausea,R11,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R111,Vomiting,R11,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R112,"Nausea with vomiting, unspecified",R11,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1115,Cyclical vomiting syndrome unrelated to migraine,R111,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1111,Vomiting without nausea,R111,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1114,Bilious vomiting,R111,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1112,Projectile vomiting,R111,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1113,Vomiting of fecal matter,R111,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1110,"Vomiting, unspecified",R111,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R130,Aphagia,R13,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R131,Dysphagia,R13,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1312,"Dysphagia, oropharyngeal phase",R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1314,"Dysphagia, pharyngoesophageal phase",R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1313,"Dysphagia, pharyngeal phase",R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1311,"Dysphagia, oral phase",R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1319,Other dysphagia,R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1310,"Dysphagia, unspecified",R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R140,Abdominal distension (gaseous),R14,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R141,Gas pain,R14,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R143,Flatulence,R14,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R142,Eructation,R14,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R159,Full incontinence of feces,R15,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R152,Fecal urgency,R15,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R150,Incomplete defecation,R15,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R151,Fecal smearing,R15,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R161,"Splenomegaly, not elsewhere classified",R16,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R162,"Hepatomegaly with splenomegaly, not elsewhere classified",R16,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R160,"Hepatomegaly, not elsewhere classified",R16,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R188,Other ascites,R18,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R180,Malignant ascites,R18,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R197,"Diarrhea, unspecified",R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R192,Visible peristalsis,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R194,Change in bowel habit,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R198,Oth symptoms and signs involving the dgstv sys and abdomen,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R190,"Intra-abdominal and pelvic swelling, mass and lump",R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R191,Abnormal bowel sounds,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R195,Other fecal abnormalities,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R196,Halitosis,R19,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1900,"Intra-abd and pelvic swelling, mass and lump, unsp site",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1903,"Right lower quadrant abdominal swelling, mass and lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1909,"Other intra-abdominal and pelvic swelling, mass and lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1902,"Left upper quadrant abdominal swelling, mass and lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1906,"Epigastric swelling, mass or lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1901,"Right upper quadrant abdominal swelling, mass and lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1907,"Generalized intra-abd and pelvic swelling, mass and lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1904,"Left lower quadrant abdominal swelling, mass and lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1905,"Periumbilic swelling, mass or lump",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1915,Other abnormal bowel sounds,R191,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1912,Hyperactive bowel sounds,R191,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1911,Absent bowel sounds,R191,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1936,Epigastric abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1937,Generalized abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1930,"Abdominal rigidity, unspecified site",R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1932,Left upper quadrant abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1931,Right upper quadrant abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1935,Periumbilic abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1933,Right lower quadrant abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R1934,Left lower quadrant abdominal rigidity,R193,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
R202,Paresthesia of skin,R20,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R203,Hyperesthesia,R20,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R208,Other disturbances of skin sensation,R20,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R209,Unspecified disturbances of skin sensation,R20,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R201,Hypoesthesia of skin,R20,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R200,Anesthesia of skin,R20,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R220,"Localized swelling, mass and lump, head",R22,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R224,"Localized swelling, mass and lump, lower limb",R22,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R221,"Localized swelling, mass and lump, neck",R22,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R229,"Localized swelling, mass and lump, unspecified",R22,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R222,"Localized swelling, mass and lump, trunk",R22,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R223,"Localized swelling, mass and lump, upper limb",R22,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2233,"Localized swelling, mass and lump, upper limb, bilateral",R223,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2230,"Localized swelling, mass and lump, unspecified upper limb",R223,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2231,"Localized swelling, mass and lump, right upper limb",R223,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2232,"Localized swelling, mass and lump, left upper limb",R223,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2241,"Localized swelling, mass and lump, right lower limb",R224,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2242,"Localized swelling, mass and lump, left lower limb",R224,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2240,"Localized swelling, mass and lump, unspecified lower limb",R224,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R2243,"Localized swelling, mass and lump, lower limb, bilateral",R224,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R239,Unspecified skin changes,R23,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R234,Changes in skin texture,R23,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R238,Other skin changes,R23,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R232,Flushing,R23,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
R230,Cyanosis,R23,ICD10,SYMPTOMS AND SIGNS INVOLVING THE SKIN AND SUBCUTANEOUS TISSUE (R20-R23),
