DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,PARENTDIAGNOSISCODE,DIAGNOSISCODESET,DIAGNOSISCODEGROUP,SUBCATEGORY
T84092A,"Mech compl of internal right knee prosthesis, init encntr",T84092,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
J431,Panlobular emphysema,J43,ICD10,CHRONIC LOWER RESPIRATORY DISEASES (J40-J47),
N739,"Female pelvic inflammatory disease, unspecified",N73,ICD10,INFLAMMATORY DISEASES OF FEMALE PELVIC ORGANS (N70-N77),
G5751,"Tarsal tunnel syndrome, right lower limb",G575,ICD10,"NERVE, NERVE ROOT AND PLEXUS DISORDERS (G50-G59)",
I472,Ventricular tachycardia,,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
Z8042,Family history of malignant neoplasm of prostate,Z804,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
D075,Carcinoma in situ of prostate,D07,ICD10,IN SITU NEOPLASMS (D00-D09),
T8454XS,"Infect/inflm reaction due to internal l knee prosth, sequela",T8454,ICD10,"COMPLICATIONS OF SURGICAL AND MEDICAL CARE, NOT ELSEWHERE CLASSIFIED (T80-T88)",
J9504,Tracheo-esophageal fistula following tracheostomy,J950,ICD10,"INTRAOPERATIVE AND POSTPROCEDURAL COMPLICATIONS AND DISORDERS OF RESPIRATORY SYSTEM, NOT ELSEWHERE CLASSIFIED (J95)",
Z8669,Personal history of dis of the nervous sys and sense organs,Z866,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
S72002S,"Fracture of unspecified part of neck of left femur, sequela",S72002,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
C50211,Malig neoplm of upper-inner quadrant of right female breast,C5021,ICD10,MALIGNANT NEOPLASMS OF BREAST (C50),
R262,"Difficulty in walking, not elsewhere classified",R26,ICD10,SYMPTOMS AND SIGNS INVOLVING THE NERVOUS AND MUSCULOSKELETAL SYSTEMS (R25-R29),
S8292XA,"Unsp fracture of left lower leg, init for clos fx",S8292,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
L97419,Non-prs chr ulcer of right heel and midfoot w unsp severt,L9741,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
B9629,Oth Escherichia coli as the cause of diseases classd elswhr,B962,ICD10,BACTERIAL AND VIRAL INFECTIOUS AGENTS (B95-B97),
Z981,Arthrodesis status,Z98,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
T304,"Corrosion of unspecified body region, unspecified degree",T30,ICD10,BURNS AND CORROSIONS OF MULTIPLE AND UNSPECIFIED BODY REGIONS (T30-T32),
M25675,"Stiffness of left foot, not elsewhere classified",M2567,ICD10,OTHER JOINT DISORDERS (M20-M25),
O619,"Failed induction of labor, unspecified",O61,ICD10,COMPLICATIONS OF LABOR AND DELIVERY (O60-O77),
S72001B,"Fx unsp part of neck of r femur, init for opn fx type I/2",S72001,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
C6290,"Malig neoplasm of unsp testis, unsp descended or undescended",C629,ICD10,MALIGNANT NEOPLASMS OF MALE GENITAL ORGANS (C60-C63),
J9311,Primary spontaneous pneumothorax,J931,ICD10,OTHER DISEASES OF THE PLEURA (J90-J94),
I5040,Unsp combined systolic and diastolic (congestive) hrt fail,I504,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
M6530,"Trigger finger, unspecified finger",M653,ICD10,DISORDERS OF SYNOVIUM AND TENDON (M65-M67),
I441,"Atrioventricular block, second degree",I44,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
S81809S,"Unspecified open wound, unspecified lower leg, sequela",S81809,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
I69321,Dysphasia following cerebral infarction,I6932,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
H1045,Other chronic allergic conjunctivitis,H104,ICD10,DISORDERS OF CONJUNCTIVA (H10-H11),
C180,Malignant neoplasm of cecum,C18,ICD10,MALIGNANT NEOPLASMS OF DIGESTIVE ORGANS (C15-C26),
M24549,"Contracture, unspecified hand",M2454,ICD10,OTHER JOINT DISORDERS (M20-M25),
D352,Benign neoplasm of pituitary gland,D35,ICD10,"BENIGN NEOPLASMS, EXCEPT BENIGN NEUROENDOCRINE TUMORS (D10-D36)",
S99911A,"Unspecified injury of right ankle, initial encounter",S99911,ICD10,INJURIES TO THE ANKLE AND FOOT (S90-S99),
S40819A,"Abrasion of unspecified upper arm, initial encounter",S40819,ICD10,INJURIES TO THE SHOULDER AND UPPER ARM (S40-S49),
D75839,"Thrombocytosis, unspecified",D7583,ICD10,OTHER DISORDERS OF BLOOD AND BLOOD-FORMING ORGANS (D70-D77),
C119,"Malignant neoplasm of nasopharynx, unspecified",C11,ICD10,"MALIGNANT NEOPLASMS OF LIP, ORAL CAVITY AND PHARYNX (C00-C14)",
I63119,Cerebral infarction due to embolism of unsp vertebral artery,I6311,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
Z992,Dependence on renal dialysis,Z99,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
N362,Urethral caruncle,N36,ICD10,OTHER DISEASES OF THE URINARY SYSTEM (N30-N39),
M6701,"Short Achilles tendon (acquired), right ankle",M670,ICD10,DISORDERS OF SYNOVIUM AND TENDON (M65-M67),
R531,Weakness,R53,ICD10,GENERAL SYMPTOMS AND SIGNS (R50-R69),
M7031,"Other bursitis of elbow, right elbow",M703,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
G9340,"Encephalopathy, unspecified",G934,ICD10,OTHER DISORDERS OF THE NERVOUS SYSTEM (G89-G99),
Z1212,Encounter for screening for malignant neoplasm of rectum,Z121,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
H8113,"Benign paroxysmal vertigo, bilateral",H811,ICD10,DISEASES OF INNER EAR (H80-H83),
K5700,Dvtrcli of sm int w perforation and abscess w/o bleeding,K570,ICD10,OTHER DISEASES OF INTESTINES (K55-K64),
P9160,"Hypoxic ischemic encephalopathy [HIE], unspecified",P916,ICD10,OTHER DISORDERS ORIGINATING IN THE PERINATAL PERIOD (P90-P96),
S22001D,"Stable burst fx unsp thor vertebra, subs for fx w routn heal",S22001,ICD10,INJURIES TO THE THORAX (S20-S29),
S52502D,"Unsp fx the low end left rad, subs for clos fx w routn heal",S52502,ICD10,INJURIES TO THE ELBOW AND FOREARM (S50-S59),
E1169,Type 2 diabetes mellitus with other specified complication,E116,ICD10,DIABETES MELLITUS (E08-E13),
N4889,Other specified disorders of penis,N488,ICD10,DISEASES OF MALE GENITAL ORGANS (N40-N53),
L304,Erythema intertrigo,L30,ICD10,DERMATITIS AND ECZEMA (L20-L30),
R1312,"Dysphagia, oropharyngeal phase",R131,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
I4891,Unspecified atrial fibrillation,I489,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
Z01419,Encntr for gyn exam (general) (routine) w/o abn findings,Z0141,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
M2170,"Unequal limb length (acquired), unspecified site",M217,ICD10,OTHER JOINT DISORDERS (M20-M25),
M25562,Pain in left knee,M2556,ICD10,OTHER JOINT DISORDERS (M20-M25),
E785,"Hyperlipidemia, unspecified",E78,ICD10,METABOLIC DISORDERS (E70-E88),
R051,Acute cough,R05,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
B373,Candidiasis of vulva and vagina,B37,ICD10,MYCOSES (B35-B49),
R001,"Bradycardia, unspecified",R00,ICD10,SYMPTOMS AND SIGNS INVOLVING THE CIRCULATORY AND RESPIRATORY SYSTEMS (R00-R09),
F17201,"Nicotine dependence, unspecified, in remission",F1720,ICD10,MENTAL AND BEHAVIORAL DISORDERS DUE TO PSYCHOACTIVE SUBSTANCE USE (F10-F19),
F209,"Schizophrenia, unspecified",F20,ICD10,"SCHIZOPHRENIA, SCHIZOTYPAL, DELUSIONAL, AND OTHER NON-MOOD PSYCHOTIC DISORDERS (F20-F29)",
Z7901,Long term (current) use of anticoagulants,Z790,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
S80219A,"Abrasion, unspecified knee, initial encounter",S80219,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
L210,Seborrhea capitis,L21,ICD10,DERMATITIS AND ECZEMA (L20-L30),
E11311,Type 2 diabetes w unsp diabetic retinopathy w macular edema,E1131,ICD10,DIABETES MELLITUS (E08-E13),
J9600,"Acute respiratory failure, unsp w hypoxia or hypercapnia",J960,ICD10,OTHER DISEASES OF THE RESPIRATORY SYSTEM (J96-J99),
R3915,Urgency of urination,R391,ICD10,SYMPTOMS AND SIGNS INVOLVING THE GENITOURINARY SYSTEM (R30-R39),
N4289,Other specified disorders of prostate,N428,ICD10,DISEASES OF MALE GENITAL ORGANS (N40-N53),
S82002A,"Unsp fracture of left patella, init for clos fx",S82002,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
A159,Respiratory tuberculosis unspecified,A15,ICD10,TUBERCULOSIS (A15-A19),
W57XXXA,"Bit/stung by nonvenom insect & oth nonvenom arthropods, init",W57,ICD10,EXPOSURE TO ANIMATE MECHANICAL FORCES (W50-W64),
Z6838,"Body mass index [BMI] 38.0-38.9, adult",Z683,ICD10,BODY MASS INDEX [BMI] (Z68),
N400,Benign prostatic hyperplasia without lower urinry tract symp,N40,ICD10,DISEASES OF MALE GENITAL ORGANS (N40-N53),
D696,"Thrombocytopenia, unspecified",D69,ICD10,"COAGULATION DEFECTS, PURPURA AND OTHER HEMORRHAGIC CONDITIONS (D65-D69)",
I776,"Arteritis, unspecified",I77,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
E041,Nontoxic single thyroid nodule,E04,ICD10,DISORDERS OF THYROID GLAND (E00-E07),
D72810,Lymphocytopenia,D7281,ICD10,OTHER DISORDERS OF BLOOD AND BLOOD-FORMING ORGANS (D70-D77),
S82851D,"Displ trimalleol fx r low leg, subs for clos fx w routn heal",S82851,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
T39395A,"Adverse effect of nonsteroidal anti-inflammatory drugs, init",T39395,ICD10,"POISONING BY, ADVERSE EFFECTS OF AND UNDERDOSING OF DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES (T36-T50)",
S32501A,"Unsp fracture of right pubis, init for clos fx",S32501,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
I1311,"Hyp hrt and chr kdny dis w/o hrt fail, w stg 5 chr kdny/ESRD",I131,ICD10,HYPERTENSIVE DISEASES (I10-I15),
K1321,"Leukoplakia of oral mucosa, including tongue",K132,ICD10,DISEASES OF ORAL CAVITY AND SALIVARY GLANDS (K00-K14),
L858,Other specified epidermal thickening,L85,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
L601,Onycholysis,L60,ICD10,DISORDERS OF SKIN APPENDAGES (L60-L75),
I442,"Atrioventricular block, complete",I44,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
I310,Chronic adhesive pericarditis,I31,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
S82891B,"Oth fracture of right lower leg, init for opn fx type I/2",S82891,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
M67431,"Ganglion, right wrist",M6743,ICD10,DISORDERS OF SYNOVIUM AND TENDON (M65-M67),
M6289,Other specified disorders of muscle,M628,ICD10,DISORDERS OF MUSCLES (M60-M63),
Z9013,Acquired absence of bilateral breasts and nipples,Z901,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
Z9111,Patient's noncompliance with dietary regimen,Z911,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO FAMILY AND PERSONAL HISTORY AND CERTAIN CONDITIONS INFLUENCING HEALTH STATUS (Z77-Z99),
S3210XD,"Unsp fracture of sacrum, subs for fx w routn heal",S3210,ICD10,"INJURIES TO THE ABDOMEN, LOWER BACK, LUMBAR SPINE, PELVIS AND EXTERNAL GENITALS (S30-S39)",
M86271,"Subacute osteomyelitis, right ankle and foot",M8627,ICD10,OTHER OSTEOPATHIES (M86-M90),
K8510,Biliary acute pancreatitis without necrosis or infection,K851,ICD10,"DISORDERS OF GALLBLADDER, BILIARY TRACT AND PANCREAS (K80-K87)",
I97638,Postproc hematoma of a circ sys org fol other circ sys proc,I9763,ICD10,OTHER AND UNSPECIFIED DISORDERS OF THE CIRCULATORY SYSTEM (I95-I99),
G40901,"Epilepsy, unsp, not intractable, with status epilepticus",G4090,ICD10,EPISODIC AND PAROXYSMAL DISORDERS (G40-G47),
S61209A,"Unsp open wound of unsp finger w/o damage to nail, init",S61209,ICD10,"INJURIES TO THE WRIST, HAND AND FINGERS (S60-S69)",
F1110,"Opioid abuse, uncomplicated",F111,ICD10,MENTAL AND BEHAVIORAL DISORDERS DUE TO PSYCHOACTIVE SUBSTANCE USE (F10-F19),
M7711,"Lateral epicondylitis, right elbow",M771,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
I509,"Heart failure, unspecified",I50,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
H9110,"Presbycusis, unspecified ear",H911,ICD10,OTHER DISORDERS OF EAR (H90-H94),
E010,Iodine-deficiency related diffuse (endemic) goiter,E01,ICD10,DISORDERS OF THYROID GLAND (E00-E07),
I70238,Athscl natv art of right leg w ulcer oth prt lower right leg,I7023,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
M7041,"Prepatellar bursitis, right knee",M704,ICD10,OTHER SOFT TISSUE DISORDERS (M70-M79),
H5461,"Unqualified visual loss, right eye, normal vision left eye",H546,ICD10,VISUAL DISTURBANCES AND BLINDNESS (H53-H54),
G47411,Narcolepsy with cataplexy,G4741,ICD10,EPISODIC AND PAROXYSMAL DISORDERS (G40-G47),
S72009A,"Fracture of unsp part of neck of unsp femur, init",S72009,ICD10,INJURIES TO THE HIP AND THIGH (S70-S79),
C49A0,"Gastrointestinal stromal tumor, unspecified site",C49A,ICD10,MALIGNANT NEOPLASMS OF MESOTHELIAL AND SOFT TISSUE (C45-C49),
G244,Idiopathic orofacial dystonia,G24,ICD10,EXTRAPYRAMIDAL AND MOVEMENT DISORDERS (G20-G26),
I77812,Thoracoabdominal aortic ectasia,I7781,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
Z635,Disruption of family by separation and divorce,Z63,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
K7290,"Hepatic failure, unspecified without coma",K729,ICD10,DISEASES OF LIVER (K70-K77),
R1900,"Intra-abd and pelvic swelling, mass and lump, unsp site",R190,ICD10,SYMPTOMS AND SIGNS INVOLVING THE DIGESTIVE SYSTEM AND ABDOMEN (R10-R19),
T23201A,"Burn of second degree of right hand, unsp site, init encntr",T23201,ICD10,"BURNS AND CORROSIONS OF EXTERNAL BODY SURFACE, SPECIFIED BY SITE (T20-T25)",
I341,Nonrheumatic mitral (valve) prolapse,I34,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
F319,"Bipolar disorder, unspecified",F31,ICD10,MOOD [AFFECTIVE] DISORDERS (F30-F39),
I420,Dilated cardiomyopathy,I42,ICD10,OTHER FORMS OF HEART DISEASE (I30-I5A),
B354,Tinea corporis,B35,ICD10,MYCOSES (B35-B49),
M6281,Muscle weakness (generalized),M628,ICD10,DISORDERS OF MUSCLES (M60-M63),
B372,Candidiasis of skin and nail,B37,ICD10,MYCOSES (B35-B49),
M1710,"Unilateral primary osteoarthritis, unspecified knee",M171,ICD10,OSTEOARTHRITIS (M15-M19),
G4752,REM sleep behavior disorder,G475,ICD10,EPISODIC AND PAROXYSMAL DISORDERS (G40-G47),
M879,"Osteonecrosis, unspecified",M87,ICD10,OTHER OSTEOPATHIES (M86-M90),
I69098,Oth sequelae following nontraumatic subarachnoid hemorrhage,I6909,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
F10230,"Alcohol dependence with withdrawal, uncomplicated",F1023,ICD10,MENTAL AND BEHAVIORAL DISORDERS DUE TO PSYCHOACTIVE SUBSTANCE USE (F10-F19),
S82899A,"Oth fracture of unsp lower leg, init for clos fx",S82899,ICD10,INJURIES TO THE KNEE AND LOWER LEG (S80-S89),
N028,Recurrent and persistent hematuria w oth morphologic changes,N02,ICD10,GLOMERULAR DISEASES (N00-N08),
M153,Secondary multiple arthritis,M15,ICD10,OSTEOARTHRITIS (M15-M19),
F39,Unspecified mood [affective] disorder,,ICD10,MOOD [AFFECTIVE] DISORDERS (F30-F39),
M10069,"Idiopathic gout, unspecified knee",M1006,ICD10,INFLAMMATORY POLYARTHROPATHIES (M05-M14),
R358,Other polyuria,,ICD10,SYMPTOMS AND SIGNS INVOLVING THE GENITOURINARY SYSTEM (R30-R39),
I97611,Postproc hemor/hemtom of a circ sys org fol cardiac bypass,I9761,ICD10,OTHER AND UNSPECIFIED DISORDERS OF THE CIRCULATORY SYSTEM (I95-I99),
I0981,Rheumatic heart failure,I098,ICD10,CHRONIC RHEUMATIC HEART DISEASES (I05-I09),
L943,Sclerodactyly,L94,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
M12842,"Oth specific arthropathies, NEC, left hand",M1284,ICD10,INFLAMMATORY POLYARTHROPATHIES (M05-M14),
H70099,"Acute mastoiditis with other complications, unspecified ear",H7009,ICD10,DISEASES OF MIDDLE EAR AND MASTOID (H65-H75),
H35713,"Central serous chorioretinopathy, bilateral",H3571,ICD10,DISORDERS OF CHOROID AND RETINA (H30-H36),
I9762,"Postp hemor, hematoma & seroma of circ sys org fol oth proc",I976,ICD10,OTHER AND UNSPECIFIED DISORDERS OF THE CIRCULATORY SYSTEM (I95-I99),
T7589XD,"Other specified effects of external causes, subs encntr",T7589,ICD10,OTHER AND UNSPECIFIED EFFECTS OF EXTERNAL CAUSES (T66-T78),
N453,Epididymo-orchitis,N45,ICD10,DISEASES OF MALE GENITAL ORGANS (N40-N53),
R921,Mammographic calcifcn found on diagnostic imaging of breast,R92,ICD10,"ABNORMAL FINDINGS ON DIAGNOSTIC IMAGING AND IN FUNCTION STUDIES, WITHOUT DIAGNOSIS (R90-R94)",
G4726,"Circadian rhythm sleep disorder, shift work type",G472,ICD10,EPISODIC AND PAROXYSMAL DISORDERS (G40-G47),
E1111,Type 2 diabetes mellitus with ketoacidosis with coma,E111,ICD10,DIABETES MELLITUS (E08-E13),
L97929,Non-prs chronic ulc unsp prt of l low leg w unsp severity,L9792,ICD10,OTHER DISORDERS OF THE SKIN AND SUBCUTANEOUS TISSUE (L80-L99),
I6509,Occlusion and stenosis of unspecified vertebral artery,I650,ICD10,CEREBROVASCULAR DISEASES (I60-I69),
H5460,"Unqualified visual loss, one eye, unspecified",H546,ICD10,VISUAL DISTURBANCES AND BLINDNESS (H53-H54),
I708,Atherosclerosis of other arteries,I70,ICD10,"DISEASES OF ARTERIES, ARTERIOLES AND CAPILLARIES (I70-I79)",
C139,"Malignant neoplasm of hypopharynx, unspecified",C13,ICD10,"MALIGNANT NEOPLASMS OF LIP, ORAL CAVITY AND PHARYNX (C00-C14)",
N3644,Muscular disorders of urethra,N364,ICD10,OTHER DISEASES OF THE URINARY SYSTEM (N30-N39),
I319,"Disease of pericardium, unspecified",I31,ICD10,OTHER FORMS OF HEART DISEASE (I30-I52),
S90851A,"Superficial foreign body, right foot, initial encounter",S90851,ICD10,INJURIES TO THE ANKLE AND FOOT (S90-S99),
E531,Pyridoxine deficiency,E53,ICD10,OTHER NUTRITIONAL DEFICIENCIES (E50-E64),
Q6670,"Congenital pes cavus, unspecified foot",Q667,ICD10,CONGENITAL MALFORMATIONS AND DEFORMATIONS OF THE MUSCULOSKELETAL SYSTEM (Q65-Q79),
E1136,Type 2 diabetes mellitus with diabetic cataract,E113,ICD10,DIABETES MELLITUS (E08-E13),
