DIAGNOSISCODE,DIAGNOSISCODEDESCRIPTION,PARENTDIAGNOSISCODE,DIAGNOSISCODESET,DIAGNOSISCODEGROUP,SUBCATEGORY
Z049,Encounter for examination and observation for unsp reason,Z04,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z048,Encounter for examination and observation for oth reasons,Z04,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z113,Encntr screen for infections w sexl mode of transmiss,Z11,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z117,Encounter for testing for latent tuberculosis infection,Z11,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z114,Encounter for screening for human immunodeficiency virus,Z11,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z111,Encounter for screening for respiratory tuberculosis,Z11,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1152,Encounter for screening for COVID-19,Z115,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1159,Encounter for screening for other viral diseases,Z115,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z124,Encounter for screening for malignant neoplasm of cervix,Z12,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z122,Encntr screen for malignant neoplasm of respiratory organs,Z12,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z125,Encounter for screening for malignant neoplasm of prostate,Z12,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z129,"Encounter for screening for malignant neoplasm, site unsp",Z12,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1212,Encounter for screening for malignant neoplasm of rectum,Z121,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1211,Encounter for screening for malignant neoplasm of colon,Z121,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1239,Encounter for oth screening for malignant neoplasm of breast,Z123,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1231,Encntr screen mammogram for malignant neoplasm of breast,Z123,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1283,Encounter for screening for malignant neoplasm of skin,Z128,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z131,Encounter for screening for diabetes mellitus,Z13,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z136,Encounter for screening for cardiovascular disorders,Z13,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z135,Encounter for screening for eye and ear disorders,Z13,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z130,Encntr screen for dis of the bld/bld-form org/immun mechnsm,Z13,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z139,"Encounter for screening, unspecified",Z13,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1329,Encounter for screening for oth suspected endocrine disorder,Z132,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1321,Encounter for screening for nutritional disorder,Z132,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z13220,Encounter for screening for lipoid disorders,Z1322,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1331,Encounter for screening for depression,Z133,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1379,Encntr for oth screening for genetic and chromsoml anomalies,Z137,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1389,Encounter for screening for other disorder,Z138,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z13820,Encounter for screening for osteoporosis,Z1382,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES FOR EXAMINATIONS (Z00-Z13),
Z1501,Genetic susceptibility to malignant neoplasm of breast,Z150,ICD10,GENETIC CARRIER AND GENETIC SUSCEPTIBILITY TO DISEASE (Z14-Z15),
Z1612,Extended spectrum beta lactamase (ESBL) resistance,Z161,ICD10,RESISTANCE TO ANTIMICROBIAL DRUGS (Z16),
Z1621,Resistance to vancomycin,Z162,ICD10,RESISTANCE TO ANTIMICROBIAL DRUGS (Z16),
Z1624,Resistance to multiple antibiotics,Z162,ICD10,RESISTANCE TO ANTIMICROBIAL DRUGS (Z16),
Z1620,Resistance to unspecified antibiotic,Z162,ICD10,RESISTANCE TO ANTIMICROBIAL DRUGS (Z16),
Z1635,Resistance to multiple antimicrobial drugs,Z163,ICD10,RESISTANCE TO ANTIMICROBIAL DRUGS (Z16),
Z170,Estrogen receptor positive status [ER+],Z17,ICD10,ESTROGEN RECEPTOR STATUS (Z17),
Z1881,Retained glass fragments,Z188,ICD10,RETAINED FOREIGN BODY FRAGMENTS (Z18),
Z191,Hormone sensitive malignancy status,Z19,ICD10,HORMONE SENSITIVITY MALIGNANCY STATUS (Z19),
Z191,Hormone sensitive malignancy status,Z19,ICD10,724,
Z191,Hormone sensitive malignancy status,Z19,ICD10,665,
Z207,"Cntct w & expsr to pediculosis, acariasis & oth infestations",Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z207,"Cntct w & expsr to pediculosis, acariasis & oth infestations",Z20,ICD10,721,
Z205,Contact with and (suspected) exposure to viral hepatitis,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z202,Contact w and exposure to infect w a sexl mode of transmiss,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z209,Contact w and exposure to unsp communicable disease,Z20,ICD10,721,
Z209,Contact w and exposure to unsp communicable disease,Z20,ICD10,662,
Z209,Contact w and exposure to unsp communicable disease,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z202,Contact w and exposure to infect w a sexl mode of transmiss,Z20,ICD10,662,
Z206,Contact w and (suspected) exposure to human immunodef virus,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z207,"Cntct w & expsr to pediculosis, acariasis & oth infestations",Z20,ICD10,662,
Z209,Contact w and exposure to unsp communicable disease,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z206,Contact w and (suspected) exposure to human immunodef virus,Z20,ICD10,662,
Z205,Contact with and (suspected) exposure to viral hepatitis,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z205,Contact with and (suspected) exposure to viral hepatitis,Z20,ICD10,662,
Z206,Contact w and (suspected) exposure to human immunodef virus,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z202,Contact w and exposure to infect w a sexl mode of transmiss,Z20,ICD10,721,
Z207,"Cntct w & expsr to pediculosis, acariasis & oth infestations",Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z202,Contact w and exposure to infect w a sexl mode of transmiss,Z20,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z20828,Contact w and exposure to oth viral communicable diseases,Z2082,ICD10,662,
Z20828,Contact w and exposure to oth viral communicable diseases,Z2082,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z20828,Contact w and exposure to oth viral communicable diseases,Z2082,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z20822,Contact with and (suspected) exposure to COVID-19,Z2082,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z22322,Carrier or suspected carrier of methicillin resis staph,Z2232,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z22322,Carrier or suspected carrier of methicillin resis staph,Z2232,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z22322,Carrier or suspected carrier of methicillin resis staph,Z2232,ICD10,721,
Z22322,Carrier or suspected carrier of methicillin resis staph,Z2232,ICD10,662,
Z283,Underimmunization status,Z28,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z283,Underimmunization status,Z28,ICD10,662,
Z283,Underimmunization status,Z28,ICD10,880,
Z283,Underimmunization status,Z28,ICD10,721,
Z2820,Immuniz not crd out bec patient decision for unsp reason,Z282,ICD10,662,
Z2820,Immuniz not crd out bec patient decision for unsp reason,Z282,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z2821,Immunization not carried out because of patient refusal,Z282,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z2821,Immunization not carried out because of patient refusal,Z282,ICD10,662,
Z2821,Immunization not carried out because of patient refusal,Z282,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z2820,Immuniz not crd out bec patient decision for unsp reason,Z282,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z28),
Z2821,Immunization not carried out because of patient refusal,Z282,ICD10,721,
Z2820,Immuniz not crd out bec patient decision for unsp reason,Z282,ICD10,721,
Z299,"Encounter for prophylactic measures, unspecified",Z29,ICD10,662,
Z299,"Encounter for prophylactic measures, unspecified",Z29,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO COMMUNICABLE DISEASES (Z20-Z29),
Z299,"Encounter for prophylactic measures, unspecified",Z29,ICD10,721,
Z309,"Encounter for contraceptive management, unspecified",Z30,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z302,Encounter for sterilization,Z30,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z30011,Encounter for initial prescription of contraceptive pills,Z3001,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3040,"Encounter for surveillance of contraceptives, unspecified",Z304,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3042,Encounter for surveillance of injectable contraceptive,Z304,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3041,Encounter for surveillance of contraceptive pills,Z304,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z30431,Encounter for routine checking of intrauterine contracep dev,Z3043,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z310,Encounter for reversal of previous sterilization,Z31,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3201,"Encounter for pregnancy test, result positive",Z320,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z331,"Pregnant state, incidental",Z33,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z379,"Outcome of delivery, unspecified",Z37,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z392,Encounter for routine postpartum follow-up,Z39,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z391,Encounter for care and examination of lactating mother,Z39,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3A00,Weeks of gestation of pregnancy not specified,Z3A0,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3A28,28 weeks gestation of pregnancy,Z3A2,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3A38,38 weeks gestation of pregnancy,Z3A3,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z3A39,39 weeks gestation of pregnancy,Z3A3,ICD10,PERSONS ENCOUNTERING HEALTH SERVICES IN CIRCUMSTANCES RELATED TO REPRODUCTION (Z30-Z39),
Z409,"Encounter for prophylactic surgery, unspecified",Z40,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z418,Encntr for oth proc for purpose oth than remedy health state,Z41,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z432,Encounter for attention to ileostomy,Z43,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z431,Encounter for attention to gastrostomy,Z43,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z433,Encounter for attention to colostomy,Z43,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z435,Encounter for attention to cystostomy,Z43,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z452,Encounter for adjustment and management of VAD,Z45,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4502,Encntr for adjust and mgmt of automatic implntbl card defib,Z450,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z45010,Encntr for checking and test of card pacemaker pulse gnrtr,Z4501,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4589,Encounter for adjustment and management of implanted devices,Z458,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z464,Encounter for fitting and adjustment of orthodontic device,Z46,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z466,Encounter for fitting and adjustment of urinary device,Z46,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z469,Encounter for fitting and adjustment of unspecified device,Z46,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z471,Aftercare following joint replacement surgery,Z47,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z472,Encounter for removal of internal fixation device,Z47,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4789,Encounter for other orthopedic aftercare,Z478,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4781,Encounter for orthopedic aftercare following surgical amp,Z478,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z483,Aftercare following surgery for neoplasm,Z48,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4800,Encounter for change or removal of nonsurg wound dressing,Z480,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4802,Encounter for removal of sutures,Z480,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4803,Encounter for change or removal of drains,Z480,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4801,Encounter for change or removal of surgical wound dressing,Z480,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4823,Encounter for aftercare following liver transplant,Z482,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z48288,Encounter for aftercare following multiple organ transplant,Z4828,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4889,Encounter for other specified surgical aftercare,Z488,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z48810,Encntr for surgical aftcr fol surgery on the sense organs,Z4881,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z48814,Encntr for surg aftcr fol surg on the teeth or oral cavity,Z4881,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z48816,Encounter for surgical aftcr following surgery on the GU sys,Z4881,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z48812,Encntr for surgical aftcr following surgery on the circ sys,Z4881,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z48815,Encntr for surgical aftcr following surgery on the dgstv sys,Z4881,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4901,Encounter for fit/adjst of extracorporeal dialysis catheter,Z490,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z4932,Encounter for adequacy testing for peritoneal dialysis,Z493,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z515,Encounter for palliative care,Z51,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z5111,Encounter for antineoplastic chemotherapy,Z511,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z5189,Encounter for other specified aftercare,Z518,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z5181,Encounter for therapeutic drug level monitoring,Z518,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z524,Kidney donor,Z52,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z539,"Procedure and treatment not carried out, unspecified reason",Z53,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z5301,Proc/trtmt not carried out due to patient smoking,Z530,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z5320,Proc/trtmt not crd out bec pt decision for unsp reasons,Z532,ICD10,ENCOUNTERS FOR OTHER SPECIFIC HEALTH CARE (Z40-Z53),
Z550,Illiteracy and low-level literacy,Z55,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z566,Other physical and mental strain related to work,Z56,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z5689,Other problems related to employment,Z568,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z579,Occupational exposure to unspecified risk factor,Z57,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z572,Occupational exposure to dust,Z57,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z590,Homelessness,Z59,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z599,"Problem related to housing and economic circumstances, unsp",Z59,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z5982,Transportation insecurity,Z598,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z5989,Other problems related to housing and economic circumstances,Z598,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z608,Other problems related to social environment,Z60,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z602,Problems related to living alone,Z60,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z635,Disruption of family by separation and divorce,Z63,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z634,Disappearance and death of family member,Z63,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z638,Other specified problems related to primary support group,Z63,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z6379,Other stressful life events affecting family and household,Z637,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z651,Imprisonment and other incarceration,Z65,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z652,Problems related to release from prison,Z65,ICD10,PERSONS WITH POTENTIAL HEALTH HAZARDS RELATED TO SOCIOECONOMIC AND PSYCHOSOCIAL CIRCUMSTANCES (Z55-Z65),
Z681,"Body mass index (BMI) 19 or less, adult",Z68,ICD10,BODY MASS INDEX [BMI] (Z68),
Z681,"Body mass index [BMI] 19.9 or less, adult",Z68,ICD10,BODY MASS INDEX [BMI] (Z68),
Z681,"Body mass index (BMI) 19.9 or less, adult",Z68,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6822,"Body mass index [BMI] 22.0-22.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6827,"Body mass index (BMI) 27.0-27.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6824,"Body mass index [BMI] 24.0-24.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6827,"Body mass index [BMI] 27.0-27.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6826,"Body mass index (BMI) 26.0-26.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6828,"Body mass index [BMI] 28.0-28.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6825,"Body mass index [BMI] 25.0-25.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6822,"Body mass index (BMI) 22.0-22.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
Z6820,"Body mass index (BMI) 20.0-20.9, adult",Z682,ICD10,BODY MASS INDEX [BMI] (Z68),
